Sample	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
Sample_34	251.49024433893408	198.04168557475833	50.720168148173315	48.728599944946176	0.0	78.88879161842745	43.36775682307574	78.62019641328304	99.56796958801586	50.48125743550811	0.0	0.0	23.18215064301354	20.68782305780892	0.0	35.88184678553204	25.005340384795048	0.0	37.76583308791965	0.0	32.214142209928355	0.0	0.0
Sample_35	0.0	15.028387150118355	0.0	30.759385131621517	0.0	1185.0692729401662	0.0	509.71463238286725	0.0	0.0	58.544319366619646	0.0	0.0	27.37197351465915	0.0	0.0	0.0	0.0	103.7976325703216	0.0	0.0	37.61384880329334	93.51059223272733
Sample_36	163.6444261898056	22.200398468487847	28.75350255614006	28.747056533255854	0.0	163.78660119773346	4.575063260697887	159.89633895804235	68.27289465098991	71.13309444777975	29.05277820098581	0.0	18.94628204659236	76.62197908905709	0.0	0.0	0.0	0.0	35.079516863037796	0.0	57.05590512787086	19.304273640408105	0.0
Sample_37	25.53402363464308	20.8665503073289	36.710414444169885	8.988404475423748	127.81079338110027	55.81343478322191	0.0	26.21472960281226	0.0	40.173612318312884	35.06920154606604	0.0	6.6130423892525965	52.452256600827404	0.0	42.14927499393309	0.0	0.0	32.274954264160364	0.0	29.70902005747541	17.31554236680256	0.0
Sample_38	49.25774413545257	3.0763557259132943	0.0	10.695847379163407	0.0	12.14683056035367	0.0	38.455528939336766	12.39389456751214	7.510520506124281	0.0	0.0	0.0	11.687731848949648	24.347865985387426	24.4639539762725	6.499772181467539	0.0	0.0	0.0	32.70899578437782	0.0	32.09361764449184
Sample_39	42.43913447138365	41.31232604689209	48.212880089942935	38.505741699007054	74.7856327853778	35.797716401038734	7.376377896507193	17.517039710564948	0.0	18.163954422282252	40.26188809964237	0.0	14.673299683448157	43.34827229693245	0.0	0.0	0.0	0.0	16.296008119457014	0.0	0.0	12.805772482338048	0.0
Sample_40	160.45723341110397	81.24944590690374	0.0	91.29068155494815	0.0	263.7908942289199	0.0	96.15303100406348	30.788067162027943	40.554075228570305	29.810960270519416	0.0	17.10601882152287	31.818142156748287	52.35253592133238	0.0	15.363861804027296	0.0	34.05963825934637	0.0	53.43208364488791	0.0	0.0
Sample_41	16.7045103549459	17.127834018551233	0.0	20.98800322428561	32.62234445932826	8.380382081219	4.1074052095752105	34.425907647675	7.257264343240954	26.191606901838906	0.0	0.0	0.0	9.377325949228258	0.0	17.25882753648318	10.082041649550831	0.0	26.2060143958659	0.0	0.0	0.0	35.66352726805159
Sample_42	37.43074157351504	13.358481057836583	0.0	24.305991735048266	0.0	18.93675274754769	4.070215129903361	16.818422516464203	39.405416796444406	8.901098042784968	8.352149480431907	0.0	0.0	21.23426099770055	0.0	0.0	0.0	0.0	12.591531137158034	0.0	18.414559168589133	6.277613762221895	0.0
Sample_43	75.54609398787389	27.18759058855414	44.48733544031199	43.75664703486444	75.10074842591926	285.91072103582866	0.0	225.73410303559743	0.0	20.50832126669875	0.0	0.0	0.0	31.984655814993104	0.0	0.0	0.0	0.0	77.95069439979193	0.0	56.01945137040629	27.48933449752069	0.0
