gene_name	lfc	n_mutations	mtor_path
REXO2	1.0966	0	0
UBE2T	1.0959	0	0
MRPS21	1.0862	0	0
SLC3A2	1.0857	0	0
ATP5F1	1.0841	0	0
SFSWAP	1.0834	0	0
CTDP1	1.0823	0	0
EIF2B4	1.0797	0	0
OIP5	1.0714	0	0
PRPF38A	1.0689	0	0
LAS1L	1.0689	0	0
IPPK	1.0664	0	0
HCFC1	1.0661	0	0
GPN3	1.0655	0	0
PES1	1.0651	0	0
EMG1	1.064	0	0
WARS2	1.0631	0	0
WDR55	1.062	0	0
SYMPK	1.0619	0	0
MRPL53	1.0597	0	0
C22orf28	1.0571	0	0
CRLS1	1.056	0	0
SOD1	1.0543	0	0
FXN	1.0539	0	0
TONSL	1.0521	0	0
EP400	1.0499	0	0
MIS12	1.0488	0	0
PSMA3	1.0486	0	0
FARS2	1.0483	0	0
ABCB7	1.0459	0	0
TUBB	1.0454	0	0
GRWD1	1.0451	0	0
MRPL23	1.0448	0	0
ACSL4	1.0446	0	0
NCBP1	1.0429	0	0
RCL1	1.0422	0	0
C3orf17	1.0407	0	0
PCBP2	1.0405	0	0
EIF6	1.04	0	0
DOLK	1.0357	0	0
WDHD1	1.0353	0	0
EEF2	1.0338	0	0
TOMM22	1.0329	0	0
SMNDC1	1.029	0	0
RPL4	1.0286	0	0
PRPF4	1.0286	0	0
ERCC2	1.0274	0	0
LARS	1.0258	0	0
FDX1L	1.0249	0	0
GINS3	1.0238	0	0
PSMD12	1.0213	0	0
TPI1	1.0209	0	0
ZNHIT6	1.0203	0	0
MRPL17	1.0202	0	0
TARDBP	1.0201	0	0
RFK	1.018	0	0
ATP5H	1.0114	0	0
PCBP1	1.0111	0	0
DAD1	1.0098	0	0
FAM96B	1.0089	0	0
ADSL	1.0062	0	0
PGK1	1.0057	0	0
RPL27A	1.005	0	0
MCM6	1.0031	0	0
VHL	1.0026	0	0
NSMCE4A	0.99982	0	0
NMT1	0.99752	0	0
NUP93	0.99669	0	0
PRIM1	0.99484	0	0
EIF4E	0.9944	0	-1
PREB	0.99393	0	0
MRPL33	0.99315	0	0
NOL6	0.99276	0	0
PSMB4	0.99178	0	0
DDX59	0.98967	0	0
CHAF1B	0.98964	0	0
TMX2	0.98724	0	0
TFAM	0.98638	0	0
MED4	0.98623	0	0
DHX9	0.98604	0	0
GNL2	0.98583	0	0
DUT	0.98525	0	0
MED14	0.98178	0	0
VARS	0.98168	0	0
PPP1R8	0.9808	0	0
RTFDC1	0.97869	0	0
MDN1	0.97325	0	0
BMS1	0.97302	0	0
POP7	0.97208	0	0
NCAPD3	0.97046	0	0
CCT5	0.97018	0	0
TPT1	0.97014	0	0
PPAT	0.96744	0	0
RNGTT	0.96699	0	0
DCTN2	0.96663	0	0
VCP	0.96591	0	0
MTERFD2	0.96463	0	0
MTPAP	0.96449	0	0
MRPS12	0.96422	0	0
DCAF13	0.96247	0	0
RPS23	0.96234	0	0
SLC7A5	0.96205	0	0
PPIH	0.96196	0	0
RTCB	0.95726	0	0
U2AF1	0.9563	0	0
COX15	0.95627	0	0
TBP	0.956	0	0
METTL16	0.95495	0	0
XRCC6	0.95306	0	0
RPL34	0.95226	0	0
U2AF2	0.95191	0	0
PRMT1	0.95166	0	0
EXOSC7	0.95058	0	0
RPE	0.94883	0	0
CMPK1	0.9483	0	0
RSL1D1	0.94762	0	0
RRS1	0.94592	0	0
XPO5	0.94581	0	0
SPATA5L1	0.94443	0	0
VARS2	0.94387	0	0
COX7B	0.94384	0	0
MRPS7	0.94239	0	0
TRAPPC2	0.94227	0	0
PPP2R4	0.94122	0	0
PCNA	0.94071	0	0
NHP2	0.94024	0	0
CCT4	0.93968	0	0
TBL3	0.93923	0	0
ALDOA	0.93741	0	0
DDX10	0.93727	0	0
WDR33	0.93609	0	0
SMC2	0.93502	0	0
USP36	0.93494	0	0
ATP1B3	0.93479	0	0
RPL28	0.9347	0	0
MED27	0.93315	0	0
FLAD1	0.93058	0	0
COX6C	0.92762	0	0
ARGLU1	0.92666	0	0
DPAGT1	0.9259	0	0
ACO2	0.92477	0	0
RTEL1	0.92421	0	0
POLR3H	0.92293	0	0
RUVBL2	0.92208	0	0
EEFSEC	0.92029	0	0
DYNLL1	0.91754	0	0
NUDC	0.9175	0	0
PARS2	0.91718	0	0
ORC5	0.91575	0	0
WDR83	0.91549	0	0
NOL8	0.91408	0	0
SELRC1	0.91342	0	0
SNRNP25	0.91177	0	0
NOP2	0.91018	0	0
WDR3	0.9082	0	0
EXOSC4	0.90718	0	0
POLR2L	0.90696	0	0
STRIP1	0.90672	0	0
NIP7	0.90546	0	0
RPS8	0.90541	0	0
HSPA8	0.90532	0	0
HDAC3	0.90506	0	0
POLR2F	0.90503	0	0
ETF1	0.90297	0	0
BUD31	0.90295	0	0
MRPL36	0.90242	0	0
GEMIN5	0.9018	0	0
CUL3	0.90065	0	0
RPP40	0.90062	0	0
DDX21	0.9005	0	0
MED20	0.90041	0	0
GLRX5	0.90004	0	0
SMARCB1	0.89991	0	0
SSU72	0.8986	0	0
RBFA	0.89812	0	0
C14orf80	0.89687	0	0
SEPSECS	0.89626	0	0
MAD2L2	0.89513	0	0
ARIH1	0.89489	0	0
STAG2	0.89466	0	0
GTPBP4	0.89338	0	0
NSMCE2	0.89291	0	0
SETDB1	0.89198	0	0
CDS2	0.89102	0	0
TBCD	0.88876	0	0
GPN2	0.88875	0	0
TRAIP	0.88831	0	0
DDX42	0.88797	0	0
NAA38	0.88688	0	0
NLE1	0.88632	0	0
HAUS7	0.88619	0	0
POLR2E	0.88613	0	0
ELP6	0.88498	0	0
CAPZB	0.88373	0	0
SMC5	0.88118	0	0
WDR18	0.88093	0	0
PSMA6	0.8802	0	0
NOC4L	0.87866	0	0
FLCN	0.87798	0	0
RABGGTA	0.87731	0	0
CARS2	0.87577	0	0
GINS1	0.87562	0	0
TOE1	0.87507	0	0
PSMD4	0.87361	0	0
ISCA2	0.87354	0	0
RPS11	0.87336	0	0
MED12	0.87048	4	0
CCNH	0.87012	0	0
CDC37	0.86982	0	0
CPSF1	0.86976	0	0
TAZ	0.8696	0	0
AARS2	0.86841	0	0
C15orf41	0.86784	0	0
BUB3	0.86742	0	0
GABPA	0.86696	0	0
RPL38	0.86574	0	0
SARS2	0.86563	0	0
CENPA	0.86503	0	0
MAGOH	0.86372	0	0
NXT1	0.86336	0	0
DHX29	0.86316	0	0
HYOU1	0.86129	0	0
CDC123	0.86106	0	0
AK6	0.85958	0	0
SKP1	0.8594	0	0
TMEM48	0.85935	0	0
CARS	0.85907	0	0
MRPS33	0.85752	0	0
MRPS26	0.85684	0	0
CCDC115	0.85632	0	0
PTCD3	0.85566	0	0
WSB1	0.85533	0	0
NUBP2	0.85466	0	0
PGD	0.85151	0	0
TFAP4	0.85019	0	0
MRPS14	0.84971	0	0
MRPS30	0.84957	0	0
SNRNP40	0.84521	0	0
LIAS	0.84513	0	0
SRPR	0.84423	0	0
GTPBP8	0.84317	0	0
WDR70	0.8431	0	0
MRPS18A	0.84301	0	0
CTU2	0.84247	0	0
NAMPT	0.8417	0	0
SUZ12	0.84117	0	0
MRPL16	0.84103	0	0
DDX56	0.84092	0	0
SEC61A1	0.83986	0	0
TUBGCP4	0.83872	0	0
FURIN	0.83854	0	0
DHX38	0.83798	0	0
TSR2	0.83792	0	0
SDAD1	0.8376	0	0
RPL18A	0.83717	0	0
CLP1	0.83671	0	0
MRPL13	0.83646	0	0
POLR2C	0.83435	0	0
TKT	0.83433	0	0
CENPI	0.83243	0	0
PDRG1	0.83041	0	0
GOT1	0.82983	0	0
LRP8	0.82819	0	0
SKIV2L2	0.82657	0	0
TANGO6	0.82379	0	0
PAK1IP1	0.82279	0	0
EIF2B5	0.82247	0	0
DOCK2	0.82188	0	0
NOP56	0.82166	0	0
LSM6	0.82109	0	0
EIF3D	0.82108	0	0
SMC3	0.82074	0	0
ELP5	0.82061	0	0
POLR1C	0.81972	0	0
EMC1	0.81956	0	0
PTPN23	0.81785	0	0
STK39	0.81654	0	0
LRPPRC	0.81614	0	0
RPTOR	0.81562	0	0
CENPM	0.81551	0	0
SUPV3L1	0.81467	0	0
CSTF3	0.81448	0	0
TUBGCP3	0.81415	0	0
CHTF18	0.81165	0	0
RPN1	0.81047	0	0
ARPC2	0.81045	0	0
MCM3	0.81001	0	0
MTHFD1	0.80844	0	0
MED8	0.80709	0	0
RBBP4	0.8057	0	0
EIF3B	0.80557	0	0
FNBP4	0.80453	0	0
ASH2L	0.80414	0	0
DNLZ	0.80366	0	0
CABIN1	0.80351	0	0
RPL23	0.80267	0	0
TOMM20	0.80221	0	0
SLC20A1	0.80203	0	0
TELO2	0.80185	0	0
FTSJ2	0.80163	0	0
MYBBP1A	0.80132	0	0
PPP2R1A	0.79926	0	0
TRNT1	0.79827	0	0
YKT6	0.7968	0	0
TMEM41B	0.79576	0	0
PDSS2	0.79384	0	0
DDX23	0.79244	0	0
WDR1	0.79175	0	0
CCDC86	0.7905	0	0
PTCD1	0.79037	0	0
UTP23	0.79008	0	0
GTF2E2	0.78947	0	0
UBA2	0.78914	0	0
RBMX2	0.78837	0	0
ARL2	0.78747	0	0
EFTUD1	0.78647	0	0
NCBP2	0.78404	0	0
PRPF40A	0.78038	0	0
UTP14A	0.78019	0	0
INTS9	0.7796	0	0
TADA3	0.77936	0	0
BRD4	0.77878	0	0
DIDO1	0.77853	0	0
RPN2	0.77472	0	0
UBTF	0.77353	0	0
FANCL	0.77322	0	0
TAMM41	0.77235	0	0
SMARCA5	0.77164	2	0
EXOSC5	0.76958	0	0
PSMA4	0.76535	0	0
SSRP1	0.76504	0	0
MINOS1	0.76379	0	0
FCF1	0.76118	0	0
ZBTB8OS	0.7594	0	0
EIF1	0.75859	0	0
KPNB1	0.75823	0	0
SLC39A10	0.75739	0	0
AP2S1	0.75719	0	0
KDSR	0.75612	0	0
TXNL4B	0.75586	0	0
UMPS	0.75501	0	-1
PPIL1	0.75495	0	0
TFRC	0.75494	0	0
TPK1	0.75366	0	0
WDR77	0.75209	0	0
POLR3E	0.75143	0	0
CCT2	0.75032	0	0
SDHB	0.74981	2	0
SPRTN	0.74688	0	0
TSR1	0.74466	0	0
GINS4	0.74369	0	0
MVD	0.74182	0	0
ELL	0.74144	0	0
THG1L	0.74115	0	0
SS18L2	0.73941	0	0
MIOS	0.73703	0	0
ZNF259	0.73693	0	0
RPF1	0.73563	0	0
DDIT3	0.73523	0	0
SEPHS2	0.73484	0	0
CCDC101	0.73453	0	0
NARS2	0.73316	0	0
WDR59	0.7304	2	0
ANAPC5	0.72963	0	0
UTP15	0.72837	0	0
GTF3C3	0.72714	0	0
FEN1	0.72618	0	0
C12orf45	0.72562	0	0
DNAJC17	0.72539	0	0
GEMIN4	0.72331	0	0
BCS1L	0.72313	0	0
CUL2	0.72233	0	0
PRPF39	0.72133	0	0
IKZF1	0.72052	5	0
PNO1	0.72048	0	0
PPIE	0.71927	0	0
CINP	0.7192	0	0
PGAM1	0.71798	0	0
NCAPG	0.71675	0	0
POLR3C	0.71508	0	0
RPS16	0.71343	0	0
TMEM258	0.70957	0	0
NOC2L	0.70896	0	0
GIGYF2	0.70867	0	0
NUDCD3	0.70835	0	0
DDX54	0.70761	0	0
POLR2B	0.7062	0	0
PTBP1	0.70283	0	0
PSMD14	0.70221	0	0
PFDN2	0.7021	0	0
C10orf2	0.70176	0	0
ARPC3	0.7016	0	0
GTF2B	0.70015	0	0
CDIPT	0.69912	0	0
PGM3	0.69746	0	0
ESF1	0.69665	0	0
TAF8	0.69653	0	0
SDE2	0.69576	0	0
EIF5	0.69531	0	0
CRNKL1	0.69525	0	0
RAD9A	0.69447	0	0
MRP63	0.69423	0	0
EIF4G1	0.69287	0	0
GRSF1	0.69275	0	0
INTS6	0.69266	0	0
PET112	0.69236	0	0
ZBTB11	0.69219	0	0
MRPL49	0.6914	0	0
PISD	0.69102	0	0
BTF3	0.69072	0	0
FAM60A	0.68923	0	0
SRP54	0.68894	0	0
HNRNPH1	0.688	0	0
MED13L	0.68709	4	0
LSM11	0.68708	0	0
RPP14	0.68669	0	0
IMP3	0.68369	0	0
SRPRB	0.68357	0	0
CIRH1A	0.6823	0	0
GPKOW	0.68226	0	0
BYSL	0.6819	0	0
XRCC3	0.67991	0	0
MCM2	0.67906	0	0
NELFB	0.67868	0	0
IMP4	0.67799	0	0
ORAOV1	0.67746	0	0
NOL7	0.67674	0	0
SLC25A22	0.67316	0	0
MRPS34	0.67211	0	0
BUB1B	0.67029	0	0
COQ5	0.66994	0	0
RPUSD4	0.66971	0	0
SNUPN	0.668	0	0
MVK	0.66687	0	0
HAUS2	0.66403	0	0
EXOSC1	0.66371	0	0
SAE1	0.6631	0	0
ALG14	0.66301	0	0
TIMM23	0.66287	0	0
PFAS	0.66227	0	0
ATP5A1	0.66088	0	0
LTV1	0.65944	0	0
HNRNPF	0.6574	0	0
PPIL3	0.65671	0	0
LSM7	0.65487	0	0
