Sample	Gene	Impact	CNV
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ELOCP28		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RN7SL121P		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC092068.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MIR7850		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC092068.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC092068.3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC006538.3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DIRAS1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC006538.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC006538.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SLC39A3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SGTA		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	THOP1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNF554		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNF555		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC006130.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNF556		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC006130.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC119403.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNF57		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC119403.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNF77		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC006277.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TLE6		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TLE2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005944.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AES		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	GNA11		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005262.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	KF456478.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005262.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	GNA15		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005264.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	S1PR4		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NCLN		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CELF5		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC010649.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NFIC		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC007792.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005514.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SMIM24		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005551.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DOHH		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	FZR1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MFSD12		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	C19orf71		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005786.3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005786.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005786.4		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005786.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	HMG20B		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	GIPC3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TBXA2R		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CACTIN-AS1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CACTIN		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PIP5K1C		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004637.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TJP3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	APBA3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005954.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005954.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MRPL54		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RAX2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005777.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MATK		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZFR2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	FTLP5		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ATCAY		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RN7SL202P		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NMRK2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DAPK3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MIR637		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	EEF2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SNORD37		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PIAS4		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZBTB7A		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC016586.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MAP2K2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CREB3L3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRT6		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	EBI3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005578.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	YJU2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SHD		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TMIGD2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	FSD1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	STAP2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC104521.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MPND		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC007292.3		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	EIF1P6		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC007292.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SH3GL1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC007292.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DEFB125		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DEFB126		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DEFB127		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DEFB128		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DEFB129		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DEFB132		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL034548.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	C20orf96		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZCCHC3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NRSN2-AS1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SOX12		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NRSN2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TRIB3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RBCK1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TBC1D20		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CSNK2A1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TCF15		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SRXN1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL121758.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SCRT2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SLC52A3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	FAM110A		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RPS10P5		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ANGPT4		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RSPO4		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PSMF1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL031665.2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ACTG1P3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TMEM74B		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL031665.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	C20orf202		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RAD21L1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SNPH		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SDCBP2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL136531.2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL136531.3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SDCBP2-AS1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL136531.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	FKBP1A		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MIR6869		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NSFL1C		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPB2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL049634.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RNU6-917P		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPD		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL049634.2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPB1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL049634.3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPG		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPG-AS1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPB3P		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RN7SL561P		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL109809.3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL109809.2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL109809.4		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL109809.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL121760.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL117335.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPA		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PDYN-AS1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PDYN		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RPL7P2		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	STK35		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL121899.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TGM3		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TGM6		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SNRPB		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL049650.1		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNF343		4.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CHEK2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	HSCB		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CCDC117		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	XBP1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	Z93930.2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	Z93930.3		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	Z93930.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNRF3		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNRF3-IT1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZNRF3-AS1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	C22orf31		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	KREMEN1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL021393.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RNU6-810P		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RNU6-1219P		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	EMID1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RHBDD3		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL031186.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	EWSR1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	GAS2L1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RASL10A		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC002059.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AP1B1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MIR3653		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SNORD125		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC000041.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RFPL4AP6		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RFPL1S		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC000041.2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RFPL1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC000035.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NEFH		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	THOC5		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005529.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NIPSNAP1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	NF2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RPEP4		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004882.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004882.2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CABP7		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ZMAT5		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	UQCR10		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ASCC2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MTMR3		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RNU6-331P		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC003681.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MIR6818		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	HORMAD2-AS1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CNN2P1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	HORMAD2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC003071.2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC003071.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC002378.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	LIF-AS1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	LIF		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004264.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	OSM		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004264.2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CASTOR1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004997.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TBC1D10A		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SF3A1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CCDC157		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RNF215		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SEC14L2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004832.3		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004832.5		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RNU6-564P		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004832.4		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MTFP1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004832.6		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004832.2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SEC14L3		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC004832.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SDC4P		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SEC14L4		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SEC14L6		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SIRPAP1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	GAL3ST1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PES1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC005006.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	TCN2		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SLC35E4		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DUSP18		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AC003072.1		6.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL954722.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PLCXD1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	GTPBP6		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	LINC00685		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	PPP2R3B		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL732314.6		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL732314.4		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	FABP5P13		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	KRT18P53		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SHOX		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL672277.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RPL14P5		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CRLF2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	CSF2RA		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	MIR3690		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	RNA5SP498		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	IL3RA		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	SLC25A6		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	LINC00106		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ASMTL-AS1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ASMTL		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	P2RY8		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AKAP17A		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	ASMT		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL683807.1		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	AL683807.2		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DHRSX		3.0
PM1207-Z1-1-Case-WGS--PM1207-EBC2-1-Ctrl-WGS	DHRSX-IT1		3.0
